79022.326796818: 0 : 20 bytes (good)
79022.426561756: 1 : 20 bytes (good)
79022.526793248: 2 : 20 bytes (good)
79022.627019079: 3 : 20 bytes (good)
79022.727040947: 4 : 20 bytes (good)
79022.901274866: 5 : 19 bytes (good)
79023.001444122: 6 : 20 bytes (good)
79023.101256488: 7 : 20 bytes (good)
79023.301020724: 8 : 20 bytes (good)
79023.301035842: 9 : 20 bytes (good)
79023.501268302: 10 : 18 bytes (good)
79023.501280134: 11 : 20 bytes (good)
the message violated the security condition
79023.701619025: 12 : 13 bytes (good)
the message violated the security condition
79023.901964327: 14 : 18 bytes (good)
the message violated the security condition
the message violated the security condition
79024.301748505: 16 : 20 bytes (good)
the message violated the security condition
79024.502048983: 19 : 20 bytes (good)
the message violated the security condition
the message violated the security condition
79024.901590546: 21 : 16 bytes (good)
the message violated the security condition
79025.101920019: 24 : 18 bytes (good)
the message violated the security condition
the message violated the security condition
79025.601770987: 26 : 20 bytes (good)
the message violated the security condition
79025.802171682: 29 : 20 bytes (good)
79026.001265362: 31 : 17 bytes (good)
the message violated the security condition
79026.201621894: 32 : 20 bytes (good)
the message violated the security condition
79026.401993795: 34 : 18 bytes (good)
the message violated the security condition
the message violated the security condition
79026.801568208: 36 : 15 bytes (good)
the message violated the security condition
the message violated the security condition
79027.301523652: 39 : 12 bytes (good)
the message violated the security condition
79027.501967667: 42 : 20 bytes (good)
the message violated the security condition
the message violated the security condition
79027.901892165: 44 : 17 bytes (good)
the message violated the security condition
the message violated the security condition
79028.301457500: 47 : 13 bytes (good)
the message violated the security condition
79028.501813090: 50 : 19 bytes (good)
the message violated the security condition
the message violated the security condition
79028.901389254: 52 : 15 bytes (good)
the message violated the security condition
79029.101775060: 55 : 12 bytes (good)
the message violated the security condition
the message violated the security condition
79029.601927970: 57 : 15 bytes (good)
the message violated the security condition
the message violated the security condition
79030.001518643: 60 : 12 bytes (good)
the message violated the security condition
79030.201870184: 63 : 20 bytes (good)
the message violated the security condition
the message violated the security condition
79030.601709279: 65 : 20 bytes (good)
the message violated the security condition
79030.802035002: 68 : 20 bytes (good)
the message violated the security condition
the message violated the security condition
79031.201670757: 70 : 20 bytes (good)
the message violated the security condition
79031.402027417: 73 : 20 bytes (good)
the message violated the security condition
the message violated the security condition
79031.801871472: 75 : 14 bytes (good)
the message violated the security condition
the message violated the security condition
79032.201888278: 78 : 20 bytes (good)
the message violated the security condition
the message violated the security condition
79032.601750195: 81 : 20 bytes (good)
the message violated the security condition
the message violated the security condition
79033.101363763: 84 : 20 bytes (good)
the message violated the security condition
79033.301711095: 87 : 19 bytes (good)
the message violated the security condition
the message violated the security condition
79033.701301172: 89 : 20 bytes (good)
the message violated the security condition
79033.901650728: 92 : 19 bytes (good)
the message violated the security condition
79034.102007669: 94 : 20 bytes (good)
the message violated the security condition
the message violated the security condition
79034.501647678: 96 : 16 bytes (good)
the message violated the security condition
79034.702033312: 99 : 20 bytes (good)
the message violated the security condition
the message violated the security condition
79035.101672600: 101 : 13 bytes (good)
the message violated the security condition
the message violated the security condition
79035.501291981: 104 : 20 bytes (good)
the message violated the security condition
79035.801647383: 107 : 18 bytes (good)
the message violated the security condition
79036.001995215: 109 : 17 bytes (good)
the message violated the security condition
the message violated the security condition
