79022.326796818: 0 : 20 bytes (good)
79036.401611439: 111 : 13 bytes (good)
the message violated the security condition
79036.602008673: 114 : 20 bytes (good)
the message violated the security condition
the message violated the security condition
79037.001690090: 116 : 16 bytes (good)
the message violated the security condition
the message violated the security condition
79037.401333724: 119 : 12 bytes (good)
the message violated the security condition
79037.601758749: 122 : 13 bytes (good)
the message violated the security condition
the message violated the security condition
79038.001447287: 124 : 17 bytes (good)
the message violated the security condition
79038.201943366: 127 : 14 bytes (good)
the message violated the security condition
the message violated the security condition
79038.601597691: 129 : 20 bytes (good)
the message violated the security condition
79038.802004772: 132 : 19 bytes (good)
the message violated the security condition
79039.001910766: 134 : 19 bytes (good)
the message violated the security condition
the message violated the security condition
79039.501549264: 136 : 19 bytes (good)
the message violated the security condition
79039.701934294: 139 : 17 bytes (good)
the message violated the security condition
the message violated the security condition
79040.101575162: 141 : 17 bytes (good)
the message violated the security condition
the message violated the security condition
79040.501418408: 144 : 12 bytes (good)
the message violated the security condition
79040.701826560: 147 : 12 bytes (good)
the message violated the security condition
the message violated the security condition
79041.101595958: 149 : 16 bytes (good)
the message violated the security condition
the message violated the security condition
79041.501093055: 152 : 16 bytes (good)
the message violated the security condition
the message violated the security condition
79041.901721900: 155 : 13 bytes (good)
79041.901730737: 156 : 17 bytes (good)
the message violated the security condition
the message violated the security condition
79042.301442635: 159 : 17 bytes (good)
the message violated the security condition
79042.501886023: 162 : 14 bytes (good)
the message violated the security condition
the message violated the security condition
79042.901895879: 164 : 20 bytes (good)
the message violated the security condition
the message violated the security condition
79043.301729995: 167 : 20 bytes (good)
the message violated the security condition
79043.501160087: 170 : 15 bytes (good)
the message violated the security condition
79043.701966175: 172 : 15 bytes (good)
79043.701973659: 173 : 20 bytes (good)
the message violated the security condition
the message violated the security condition
79044.101714950: 175 : 14 bytes (good)
the message violated the security condition
the message violated the security condition
79044.501410787: 178 : 20 bytes (good)
the message violated the security condition
79044.701817466: 181 : 13 bytes (good)
the message violated the security condition
the message violated the security condition
79045.101564769: 183 : 20 bytes (good)
the message violated the security condition
79045.302083558: 186 : 18 bytes (good)
79045.501273839: 188 : 20 bytes (good)
the message violated the security condition
79045.701740430: 189 : 20 bytes (good)
the message violated the security condition
the message violated the security condition
79046.201532481: 191 : 18 bytes (good)
the message violated the security condition
79046.401953074: 194 : 18 bytes (good)
the message violated the security condition
the message violated the security condition
79046.802000156: 196 : 18 bytes (good)
the message violated the security condition
the message violated the security condition
79047.201767355: 199 : 20 bytes (good)
the message violated the security condition
the message violated the security condition
79047.601502543: 202 : 20 bytes (good)
the message violated the security condition
79047.801931873: 205 : 20 bytes (good)
the message violated the security condition
the message violated the security condition
79048.201358464: 207 : 19 bytes (good)
the message violated the security condition
79048.401612175: 210 : 15 bytes (good)
the message violated the security condition
the message violated the security condition
79048.801519764: 212 : 20 bytes (good)
the message violated the security condition
the message violated the security condition
79049.201322148: 215 : 16 bytes (good)
the message violated the security condition
79049.401778447: 218 : 20 bytes (good)
the message violated the security condition
the message violated the security condition
79049.801715341: 220 : 20 bytes (good)
the message violated the security condition
the message violated the security condition
79050.201955242: 223 : 20 bytes (good)
the message violated the security condition
the message violated the security condition
the message violated the security condition
79050.701716238: 226 : 20 bytes (good)
the message violated the security condition
the message violated the security condition
79051.101641539: 230 : 14 bytes (good)
the message violated the security condition
the message violated the security condition
79051.501519621: 233 : 20 bytes (good)
the message violated the security condition
the message violated the security condition
79051.901310501: 236 : 12 bytes (good)
the message violated the security condition
79052.101878439: 239 : 12 bytes (good)
the message violated the security condition
the message violated the security condition
79052.501670069: 241 : 14 bytes (good)
the message violated the security condition
the message violated the security condition
79052.901517534: 244 : 12 bytes (good)
the message violated the security condition
the message violated the security condition
79053.301334620: 247 : 14 bytes (good)
the message violated the security condition
79053.501845059: 250 : 12 bytes (good)
the message violated the security condition
the message violated the security condition
79053.901886597: 252 : 20 bytes (good)
the message violated the security condition
the message violated the security condition
